my,geoid,br_2020,se_traf,pt_traf,total_traf,borough,shape_area,nta_nam
19-May,36061015001,1015001,16554,103288,119842,Manhattan,556354.4604,Upper East Side-Carnegie Hill
21-May,36061015001,1015001,12497,48848,61345,Manhattan,556354.4604,Upper East Side-Carnegie Hill
19-Jun,36061015001,1015001,4047,59900,63947,Manhattan,556354.4604,Upper East Side-Carnegie Hill
21-Jun,36061015001,1015001,0,10738,10738,Manhattan,556354.4604,Upper East Side-Carnegie Hill
19-Jul,36061015001,1015001,11540,85899,97439,Manhattan,556354.4604,Upper East Side-Carnegie Hill
21-Jul,36061015001,1015001,12629,74910,87539,Manhattan,556354.4604,Upper East Side-Carnegie Hill
19-Aug,36061015001,1015001,9931,44115,54046,Manhattan,556354.4604,Upper East Side-Carnegie Hill
21-Aug,36061015001,1015001,1346,124974,126320,Manhattan,556354.4604,Upper East Side-Carnegie Hill
19-May,36061015002,1015002,14127,80838,94965,Manhattan,1352304.146,Upper East Side-Carnegie Hill
21-May,36061015002,1015002,15017,82489,97506,Manhattan,1352304.146,Upper East Side-Carnegie Hill
19-Jun,36061015002,1015002,6594,112780,119374,Manhattan,1352304.146,Upper East Side-Carnegie Hill
21-Jun,36061015002,1015002,9289,62651,71940,Manhattan,1352304.146,Upper East Side-Carnegie Hill
19-Jul,36061015002,1015002,11670,111625,123295,Manhattan,1352304.146,Upper East Side-Carnegie Hill
21-Jul,36061015002,1015002,5939,121988,127927,Manhattan,1352304.146,Upper East Side-Carnegie Hill
19-Aug,36061015002,1015002,9390,50118,59508,Manhattan,1352304.146,Upper East Side-Carnegie Hill
21-Aug,36061015002,1015002,6694,105086,111780,Manhattan,1352304.146,Upper East Side-Carnegie Hill
19-May,36061015101,1015101,2688,57209,59897,Manhattan,1179802.657,Upper West Side-Lincoln Square
21-May,36061015101,1015101,19341,135377,154718,Manhattan,1179802.657,Upper West Side-Lincoln Square
19-Jun,36061015101,1015101,14622,32400,47022,Manhattan,1179802.657,Upper West Side-Lincoln Square
21-Jun,36061015101,1015101,15865,77964,93829,Manhattan,1179802.657,Upper West Side-Lincoln Square
19-Jul,36061015101,1015101,2765,91380,94145,Manhattan,1179802.657,Upper West Side-Lincoln Square
21-Jul,36061015101,1015101,13585,73482,87067,Manhattan,1179802.657,Upper West Side-Lincoln Square
19-Aug,36061015101,1015101,10626,71,10697,Manhattan,1179802.657,Upper West Side-Lincoln Square
21-Aug,36061015101,1015101,8593,87299,95892,Manhattan,1179802.657,Upper West Side-Lincoln Square
19-May,36061015301,1015301,4653,22731,27384,Manhattan,934986.5519,Upper West Side-Lincoln Square
21-May,36061015301,1015301,778,70727,71505,Manhattan,934986.5519,Upper West Side-Lincoln Square
19-Jun,36061015301,1015301,3790,91427,95217,Manhattan,934986.5519,Upper West Side-Lincoln Square
21-Jun,36061015301,1015301,12794,102727,115521,Manhattan,934986.5519,Upper West Side-Lincoln Square
19-Jul,36061015301,1015301,12192,107095,119287,Manhattan,934986.5519,Upper West Side-Lincoln Square
21-Jul,36061015301,1015301,6381,86590,92971,Manhattan,934986.5519,Upper West Side-Lincoln Square
19-Aug,36061015301,1015301,16676,43097,59773,Manhattan,934986.5519,Upper West Side-Lincoln Square
21-Aug,36061015301,1015301,9788,71,9859,Manhattan,934986.5519,Upper West Side-Lincoln Square
19-May,36061015302,1015302,5280,56255,61535,Manhattan,938455.1675,Upper West Side-Lincoln Square
21-May,36061015302,1015302,10237,61209,71446,Manhattan,938455.1675,Upper West Side-Lincoln Square
19-Jun,36061015302,1015302,7528,129659,137187,Manhattan,938455.1675,Upper West Side-Lincoln Square
21-Jun,36061015302,1015302,0,85922,85922,Manhattan,938455.1675,Upper West Side-Lincoln Square
19-Jul,36061015302,1015302,11661,29028,40689,Manhattan,938455.1675,Upper West Side-Lincoln Square
21-Jul,36061015302,1015302,8110,84111,92221,Manhattan,938455.1675,Upper West Side-Lincoln Square
19-Aug,36061015302,1015302,7456,46793,54249,Manhattan,938455.1675,Upper West Side-Lincoln Square
21-Aug,36061015302,1015302,17558,55509,73067,Manhattan,938455.1675,Upper West Side-Lincoln Square
19-May,36061015401,1015401,8033,51886,59919,Manhattan,763019.6869,Upper East Side-Yorkville
21-May,36061015401,1015401,4115,88809,92924,Manhattan,763019.6869,Upper East Side-Yorkville
19-Jun,36061015401,1015401,6605,72020,78625,Manhattan,763019.6869,Upper East Side-Yorkville
21-Jun,36061015401,1015401,3886,47865,51751,Manhattan,763019.6869,Upper East Side-Yorkville
19-Jul,36061015401,1015401,171,44122,44293,Manhattan,763019.6869,Upper East Side-Yorkville
21-Jul,36061015401,1015401,3555,23144,26699,Manhattan,763019.6869,Upper East Side-Yorkville
19-Aug,36061015401,1015401,12091,86543,98634,Manhattan,763019.6869,Upper East Side-Yorkville
21-Aug,36061015401,1015401,1980,58048,60028,Manhattan,763019.6869,Upper East Side-Yorkville
19-May,36061015402,1015402,14010,58559,72569,Manhattan,590439.3481,Upper East Side-Yorkville
21-May,36061015402,1015402,9348,61007,70355,Manhattan,590439.3481,Upper East Side-Yorkville
19-Jun,36061015402,1015402,3351,63672,67023,Manhattan,590439.3481,Upper East Side-Yorkville
21-Jun,36061015402,1015402,8165,39537,47702,Manhattan,590439.3481,Upper East Side-Yorkville
19-Jul,36061015402,1015402,9298,43949,53247,Manhattan,590439.3481,Upper East Side-Yorkville
21-Jul,36061015402,1015402,7551,98852,106403,Manhattan,590439.3481,Upper East Side-Yorkville
19-Aug,36061015402,1015402,5360,49407,54767,Manhattan,590439.3481,Upper East Side-Yorkville
21-Aug,36061015402,1015402,2355,68677,71032,Manhattan,590439.3481,Upper East Side-Yorkville
19-May,36061015403,1015403,7078,75016,82094,Manhattan,555763.3132,Upper East Side-Yorkville
21-May,36061015403,1015403,8667,44997,53664,Manhattan,555763.3132,Upper East Side-Yorkville
19-Jun,36061015403,1015403,7596,43975,51571,Manhattan,555763.3132,Upper East Side-Yorkville
21-Jun,36061015403,1015403,8100,60144,68244,Manhattan,555763.3132,Upper East Side-Yorkville
19-Jul,36061015403,1015403,11572,86417,97989,Manhattan,555763.3132,Upper East Side-Yorkville
21-Jul,36061015403,1015403,1402,83997,85399,Manhattan,555763.3132,Upper East Side-Yorkville
19-Aug,36061015403,1015403,12386,76751,89137,Manhattan,555763.3132,Upper East Side-Yorkville
21-Aug,36061015403,1015403,22801,85521,108322,Manhattan,555763.3132,Upper East Side-Yorkville
19-May,36061015501,1015501,17292,45044,62336,Manhattan,928265.5383,Upper West Side-Lincoln Square
21-May,36061015501,1015501,4419,23063,27482,Manhattan,928265.5383,Upper West Side-Lincoln Square
19-Jun,36061015501,1015501,9849,122931,132780,Manhattan,928265.5383,Upper West Side-Lincoln Square
21-Jun,36061015501,1015501,9706,99688,109394,Manhattan,928265.5383,Upper West Side-Lincoln Square
19-Jul,36061015501,1015501,9753,65440,75193,Manhattan,928265.5383,Upper West Side-Lincoln Square
21-Jul,36061015501,1015501,11956,74131,86087,Manhattan,928265.5383,Upper West Side-Lincoln Square
19-Aug,36061015501,1015501,3090,65970,69060,Manhattan,928265.5383,Upper West Side-Lincoln Square
21-Aug,36061015501,1015501,5419,43259,48678,Manhattan,928265.5383,Upper West Side-Lincoln Square
19-May,36061015601,1015601,76,33464,33540,Manhattan,791936.9649,Upper East Side-Yorkville
21-May,36061015601,1015601,5769,38194,43963,Manhattan,791936.9649,Upper East Side-Yorkville
19-Jun,36061015601,1015601,9542,55758,65300,Manhattan,791936.9649,Upper East Side-Yorkville
21-Jun,36061015601,1015601,13402,41129,54531,Manhattan,791936.9649,Upper East Side-Yorkville
19-Jul,36061015601,1015601,11927,139183,151110,Manhattan,791936.9649,Upper East Side-Yorkville
21-Jul,36061015601,1015601,3319,37051,40370,Manhattan,791936.9649,Upper East Side-Yorkville
19-Aug,36061015601,1015601,8773,71,8844,Manhattan,791936.9649,Upper East Side-Yorkville
21-Aug,36061015601,1015601,7369,83612,90981,Manhattan,791936.9649,Upper East Side-Yorkville
19-May,36061015602,1015602,12273,61099,73372,Manhattan,1169910.016,East Harlem (South)
21-May,36061015602,1015602,8618,134568,143186,Manhattan,1169910.016,East Harlem (South)
19-Jun,36061015602,1015602,13856,71,13927,Manhattan,1169910.016,East Harlem (South)
21-Jun,36061015602,1015602,20454,95809,116263,Manhattan,1169910.016,East Harlem (South)
19-Jul,36061015602,1015602,12127,58845,70972,Manhattan,1169910.016,East Harlem (South)
21-Jul,36061015602,1015602,8127,158787,166914,Manhattan,1169910.016,East Harlem (South)
19-Aug,36061015602,1015602,11706,67371,79077,Manhattan,1169910.016,East Harlem (South)
21-Aug,36061015602,1015602,9512,117126,126638,Manhattan,1169910.016,East Harlem (South)
19-May,36061015700,1015700,3235,79958,83193,Manhattan,1958586.74,Upper West Side-Lincoln Square
21-May,36061015700,1015700,16038,71,16109,Manhattan,1958586.74,Upper West Side-Lincoln Square
19-Jun,36061015700,1015700,10760,27831,38591,Manhattan,1958586.74,Upper West Side-Lincoln Square
21-Jun,36061015700,1015700,13399,34836,48235,Manhattan,1958586.74,Upper West Side-Lincoln Square
19-Jul,36061015700,1015700,13863,66760,80623,Manhattan,1958586.74,Upper West Side-Lincoln Square
21-Jul,36061015700,1015700,4150,29369,33519,Manhattan,1958586.74,Upper West Side-Lincoln Square
19-Aug,36061015700,1015700,2436,78418,80854,Manhattan,1958586.74,Upper West Side-Lincoln Square
21-Aug,36061015700,1015700,22077,76394,98471,Manhattan,1958586.74,Upper West Side-Lincoln Square
19-May,36061015801,1015801,2214,111524,113738,Manhattan,1353075.762,Upper East Side-Carnegie Hill
21-May,36061015801,1015801,2875,71,2946,Manhattan,1353075.762,Upper East Side-Carnegie Hill
19-Jun,36061015801,1015801,11875,80352,92227,Manhattan,1353075.762,Upper East Side-Carnegie Hill
21-Jun,36061015801,1015801,4916,40696,45612,Manhattan,1353075.762,Upper East Side-Carnegie Hill
19-Jul,36061015801,1015801,8021,92591,100612,Manhattan,1353075.762,Upper East Side-Carnegie Hill
21-Jul,36061015801,1015801,10354,15376,25730,Manhattan,1353075.762,Upper East Side-Carnegie Hill
19-Aug,36061015801,1015801,15019,74002,89021,Manhattan,1353075.762,Upper East Side-Carnegie Hill
21-Aug,36061015801,1015801,16020,11228,27248,Manhattan,1353075.762,Upper East Side-Carnegie Hill
19-May,36061015802,1015802,6167,132509,138676,Manhattan,551587.6442,East Harlem (South)
21-May,36061015802,1015802,11350,45991,57341,Manhattan,551587.6442,East Harlem (South)
19-Jun,36061015802,1015802,6405,72749,79154,Manhattan,551587.6442,East Harlem (South)
21-Jun,36061015802,1015802,14175,38469,52644,Manhattan,551587.6442,East Harlem (South)
19-Jul,36061015802,1015802,4256,110411,114667,Manhattan,551587.6442,East Harlem (South)
21-Jul,36061015802,1015802,10448,66004,76452,Manhattan,551587.6442,East Harlem (South)
19-Aug,36061015802,1015802,6099,49911,56010,Manhattan,551587.6442,East Harlem (South)
21-Aug,36061015802,1015802,12782,28808,41590,Manhattan,551587.6442,East Harlem (South)
19-May,36061016001,1016001,12612,73017,85629,Manhattan,1352632.298,Upper East Side-Carnegie Hill
21-May,36061016001,1016001,6284,79424,85708,Manhattan,1352632.298,Upper East Side-Carnegie Hill
19-Jun,36061016001,1016001,6212,75269,81481,Manhattan,1352632.298,Upper East Side-Carnegie Hill
21-Jun,36061016001,1016001,4714,81557,86271,Manhattan,1352632.298,Upper East Side-Carnegie Hill
19-Jul,36061016001,1016001,10346,24558,34904,Manhattan,1352632.298,Upper East Side-Carnegie Hill
21-Jul,36061016001,1016001,12014,69992,82006,Manhattan,1352632.298,Upper East Side-Carnegie Hill
19-Aug,36061016001,1016001,12187,88292,100479,Manhattan,1352632.298,Upper East Side-Carnegie Hill
21-Aug,36061016001,1016001,0,52817,52817,Manhattan,1352632.298,Upper East Side-Carnegie Hill
19-May,36061016100,1016100,7208,80478,87686,Manhattan,1677359.665,Upper West Side (Central)
21-May,36061016100,1016100,5165,82835,88000,Manhattan,1677359.665,Upper West Side (Central)
19-Jun,36061016100,1016100,5598,69566,75164,Manhattan,1677359.665,Upper West Side (Central)
21-Jun,36061016100,1016100,7921,110418,118339,Manhattan,1677359.665,Upper West Side (Central)
19-Jul,36061016100,1016100,7064,40035,47099,Manhattan,1677359.665,Upper West Side (Central)
21-Jul,36061016100,1016100,5431,45108,50539,Manhattan,1677359.665,Upper West Side (Central)
19-Aug,36061016100,1016100,11923,145951,157874,Manhattan,1677359.665,Upper West Side (Central)
21-Aug,36061016100,1016100,8942,97183,106125,Manhattan,1677359.665,Upper West Side (Central)
19-May,36061016200,1016200,9830,62683,72513,Manhattan,2927429.509,East Harlem (South)
21-May,36061016200,1016200,7531,49238,56769,Manhattan,2927429.509,East Harlem (South)
19-Jun,36061016200,1016200,2775,22510,25285,Manhattan,2927429.509,East Harlem (South)
21-Jun,36061016200,1016200,7802,21886,29688,Manhattan,2927429.509,East Harlem (South)
19-Jul,36061016200,1016200,10429,18697,29126,Manhattan,2927429.509,East Harlem (South)
21-Jul,36061016200,1016200,7948,36072,44020,Manhattan,2927429.509,East Harlem (South)
19-Aug,36061016200,1016200,12577,34864,47441,Manhattan,2927429.509,East Harlem (South)
21-Aug,36061016200,1016200,4350,90904,95254,Manhattan,2927429.509,East Harlem (South)
19-May,36061016400,1016400,12701,64428,77129,Manhattan,1911300.531,East Harlem (South)
21-May,36061016400,1016400,3609,81908,85517,Manhattan,1911300.531,East Harlem (South)
19-Jun,36061016400,1016400,10584,33173,43757,Manhattan,1911300.531,East Harlem (South)
21-Jun,36061016400,1016400,3183,55813,58996,Manhattan,1911300.531,East Harlem (South)
19-Jul,36061016400,1016400,15509,123655,139164,Manhattan,1911300.531,East Harlem (South)
21-Jul,36061016400,1016400,0,66755,66755,Manhattan,1911300.531,East Harlem (South)
19-Aug,36061016400,1016400,12624,50571,63195,Manhattan,1911300.531,East Harlem (South)
21-Aug,36061016400,1016400,12281,31278,43559,Manhattan,1911300.531,East Harlem (South)
19-May,36061016500,1016500,9704,78200,87904,Manhattan,2199114.6,Upper West Side (Central)
21-May,36061016500,1016500,4856,49147,54003,Manhattan,2199114.6,Upper West Side (Central)
19-Jun,36061016500,1016500,9426,123373,132799,Manhattan,2199114.6,Upper West Side (Central)
21-Jun,36061016500,1016500,5962,71,6033,Manhattan,2199114.6,Upper West Side (Central)
19-Jul,36061016500,1016500,10139,69445,79584,Manhattan,2199114.6,Upper West Side (Central)
21-Jul,36061016500,1016500,13937,85287,99224,Manhattan,2199114.6,Upper West Side (Central)
19-Aug,36061016500,1016500,17709,12620,30329,Manhattan,2199114.6,Upper West Side (Central)
21-Aug,36061016500,1016500,0,35718,35718,Manhattan,2199114.6,Upper West Side (Central)
19-May,36061016600,1016600,9281,103440,112721,Manhattan,1871913.936,East Harlem (South)
21-May,36061016600,1016600,3553,171281,174834,Manhattan,1871913.936,East Harlem (South)
19-Jun,36061016600,1016600,15559,117255,132814,Manhattan,1871913.936,East Harlem (South)
21-Jun,36061016600,1016600,711,83766,84477,Manhattan,1871913.936,East Harlem (South)
19-Jul,36061016600,1016600,12561,47626,60187,Manhattan,1871913.936,East Harlem (South)
21-Jul,36061016600,1016600,6142,39799,45941,Manhattan,1871913.936,East Harlem (South)
19-Aug,36061016600,1016600,12676,161949,174625,Manhattan,1871913.936,East Harlem (South)
21-Aug,36061016600,1016600,11708,58032,69740,Manhattan,1871913.936,East Harlem (South)
19-May,36061016900,1016900,14773,164734,179507,Manhattan,1937087.88,Upper West Side (Central)
21-May,36061016900,1016900,20512,93945,114457,Manhattan,1937087.88,Upper West Side (Central)
19-Jun,36061016900,1016900,15396,55823,71219,Manhattan,1937087.88,Upper West Side (Central)
21-Jun,36061016900,1016900,1714,108321,110035,Manhattan,1937087.88,Upper West Side (Central)
19-Jul,36061016900,1016900,8885,6330,15215,Manhattan,1937087.88,Upper West Side (Central)
21-Jul,36061016900,1016900,8393,64176,72569,Manhattan,1937087.88,Upper West Side (Central)
19-Aug,36061016900,1016900,7491,98970,106461,Manhattan,1937087.88,Upper West Side (Central)
21-Aug,36061016900,1016900,11199,46734,57933,Manhattan,1937087.88,Upper West Side (Central)
19-May,36061017000,1017000,20507,147655,168162,Manhattan,1969157.887,East Harlem (South)
21-May,36061017000,1017000,15702,59271,74973,Manhattan,1969157.887,East Harlem (South)
19-Jun,36061017000,1017000,0,65210,65210,Manhattan,1969157.887,East Harlem (South)
21-Jun,36061017000,1017000,6080,113918,119998,Manhattan,1969157.887,East Harlem (South)
19-Jul,36061017000,1017000,6893,79633,86526,Manhattan,1969157.887,East Harlem (South)
21-Jul,36061017000,1017000,8888,124102,132990,Manhattan,1969157.887,East Harlem (South)
19-Aug,36061017000,1017000,5057,29541,34598,Manhattan,1969157.887,East Harlem (South)
21-Aug,36061017000,1017000,13246,93195,106441,Manhattan,1969157.887,East Harlem (South)
19-May,36061017100,1017100,11614,65884,77498,Manhattan,2262383.014,Upper West Side (Central)
21-May,36061017100,1017100,11319,68572,79891,Manhattan,2262383.014,Upper West Side (Central)
19-Jun,36061017100,1017100,11630,45125,56755,Manhattan,2262383.014,Upper West Side (Central)
21-Jun,36061017100,1017100,1535,56554,58089,Manhattan,2262383.014,Upper West Side (Central)
19-Jul,36061017100,1017100,10326,71,10397,Manhattan,2262383.014,Upper West Side (Central)
21-Jul,36061017100,1017100,10230,60317,70547,Manhattan,2262383.014,Upper West Side (Central)
19-Aug,36061017100,1017100,15160,86110,101270,Manhattan,2262383.014,Upper West Side (Central)
21-Aug,36061017100,1017100,13470,41609,55079,Manhattan,2262383.014,Upper West Side (Central)
19-May,36061017200,1017200,1011,43666,44677,Manhattan,1912754.756,East Harlem (South)
21-May,36061017200,1017200,4206,138668,142874,Manhattan,1912754.756,East Harlem (South)
19-Jun,36061017200,1017200,14153,89000,103153,Manhattan,1912754.756,East Harlem (South)
21-Jun,36061017200,1017200,14776,119377,134153,Manhattan,1912754.756,East Harlem (South)
19-Jul,36061017200,1017200,1563,77370,78933,Manhattan,1912754.756,East Harlem (South)
21-Jul,36061017200,1017200,4137,106143,110280,Manhattan,1912754.756,East Harlem (South)
19-Aug,36061017200,1017200,3915,95907,99822,Manhattan,1912754.756,East Harlem (South)
21-Aug,36061017200,1017200,7533,49632,57165,Manhattan,1912754.756,East Harlem (South)
19-May,36061017300,1017300,10645,55509,66154,Manhattan,1921881.193,Upper West Side (Central)
21-May,36061017300,1017300,464,82215,82679,Manhattan,1921881.193,Upper West Side (Central)
19-Jun,36061017300,1017300,5035,103693,108728,Manhattan,1921881.193,Upper West Side (Central)
21-Jun,36061017300,1017300,6494,45230,51724,Manhattan,1921881.193,Upper West Side (Central)
19-Jul,36061017300,1017300,9053,8556,17609,Manhattan,1921881.193,Upper West Side (Central)
21-Jul,36061017300,1017300,10795,99872,110667,Manhattan,1921881.193,Upper West Side (Central)
19-Aug,36061017300,1017300,16428,71,16499,Manhattan,1921881.193,Upper West Side (Central)
21-Aug,36061017300,1017300,3292,28494,31786,Manhattan,1921881.193,Upper West Side (Central)
19-May,36061017401,1017401,10309,72807,83116,Manhattan,1086203.709,East Harlem (South)
21-May,36061017401,1017401,8981,80949,89930,Manhattan,1086203.709,East Harlem (South)
19-Jun,36061017401,1017401,17028,56866,73894,Manhattan,1086203.709,East Harlem (South)
21-Jun,36061017401,1017401,9018,87300,96318,Manhattan,1086203.709,East Harlem (South)
19-Jul,36061017401,1017401,2106,10964,13070,Manhattan,1086203.709,East Harlem (South)
21-Jul,36061017401,1017401,4858,150733,155591,Manhattan,1086203.709,East Harlem (South)
19-Aug,36061017401,1017401,12967,42296,55263,Manhattan,1086203.709,East Harlem (South)
21-Aug,36061017401,1017401,8017,106205,114222,Manhattan,1086203.709,East Harlem (South)
19-May,36061017402,1017402,0,32673,32673,Manhattan,547579.1267,East Harlem (South)
21-May,36061017402,1017402,4535,77834,82369,Manhattan,547579.1267,East Harlem (South)
19-Jun,36061017402,1017402,7539,102364,109903,Manhattan,547579.1267,East Harlem (South)
21-Jun,36061017402,1017402,10288,76781,87069,Manhattan,547579.1267,East Harlem (South)
19-Jul,36061017402,1017402,4903,50064,54967,Manhattan,547579.1267,East Harlem (South)
21-Jul,36061017402,1017402,14220,41359,55579,Manhattan,547579.1267,East Harlem (South)
19-Aug,36061017402,1017402,5179,37933,43112,Manhattan,547579.1267,East Harlem (South)
21-Aug,36061017402,1017402,6095,116604,122699,Manhattan,547579.1267,East Harlem (South)
19-May,36061017500,1017500,7850,69349,77199,Manhattan,2318094.023,Upper West Side (Central)
21-May,36061017500,1017500,1809,67581,69390,Manhattan,2318094.023,Upper West Side (Central)
19-Jun,36061017500,1017500,12008,74113,86121,Manhattan,2318094.023,Upper West Side (Central)
21-Jun,36061017500,1017500,5027,52987,58014,Manhattan,2318094.023,Upper West Side (Central)
19-Jul,36061017500,1017500,8820,71331,80151,Manhattan,2318094.023,Upper West Side (Central)
21-Jul,36061017500,1017500,8024,52399,60423,Manhattan,2318094.023,Upper West Side (Central)
19-Aug,36061017500,1017500,9797,83501,93298,Manhattan,2318094.023,Upper West Side (Central)
21-Aug,36061017500,1017500,8327,102050,110377,Manhattan,2318094.023,Upper West Side (Central)
19-May,36061017700,1017700,3372,44650,48022,Manhattan,1878929.747,Upper West Side (Central)
21-May,36061017700,1017700,11529,105187,116716,Manhattan,1878929.747,Upper West Side (Central)
19-Jun,36061017700,1017700,7515,33173,40688,Manhattan,1878929.747,Upper West Side (Central)
21-Jun,36061017700,1017700,3465,68096,71561,Manhattan,1878929.747,Upper West Side (Central)
19-Jul,36061017700,1017700,8543,123525,132068,Manhattan,1878929.747,Upper West Side (Central)
21-Jul,36061017700,1017700,8836,1815,10651,Manhattan,1878929.747,Upper West Side (Central)
19-Aug,36061017700,1017700,7626,32923,40549,Manhattan,1878929.747,Upper West Side (Central)
21-Aug,36061017700,1017700,3990,53903,57893,Manhattan,1878929.747,Upper West Side (Central)
19-May,36061018000,1018000,10578,71,10649,Manhattan,2287541.257,East Harlem (North)
21-May,36061018000,1018000,1926,88160,90086,Manhattan,2287541.257,East Harlem (North)
19-Jun,36061018000,1018000,8404,43685,52089,Manhattan,2287541.257,East Harlem (North)
21-Jun,36061018000,1018000,3087,20250,23337,Manhattan,2287541.257,East Harlem (North)
19-Jul,36061018000,1018000,17394,111533,128927,Manhattan,2287541.257,East Harlem (North)
21-Jul,36061018000,1018000,15016,164967,179983,Manhattan,2287541.257,East Harlem (North)
19-Aug,36061018000,1018000,10531,52758,63289,Manhattan,2287541.257,East Harlem (North)
21-Aug,36061018000,1018000,13777,96540,110317,Manhattan,2287541.257,East Harlem (North)
19-May,36061018100,1018100,13351,55906,69257,Manhattan,1489902.893,Upper West Side (Central)
21-May,36061018100,1018100,9662,101317,110979,Manhattan,1489902.893,Upper West Side (Central)
19-Jun,36061018100,1018100,7766,71,7837,Manhattan,1489902.893,Upper West Side (Central)
21-Jun,36061018100,1018100,7078,62728,69806,Manhattan,1489902.893,Upper West Side (Central)
19-Jul,36061018100,1018100,11718,24515,36233,Manhattan,1489902.893,Upper West Side (Central)
21-Jul,36061018100,1018100,7553,25428,32981,Manhattan,1489902.893,Upper West Side (Central)
19-Aug,36061018100,1018100,12904,82152,95056,Manhattan,1489902.893,Upper West Side (Central)
21-Aug,36061018100,1018100,0,74012,74012,Manhattan,1489902.893,Upper West Side (Central)
19-May,36061018400,1018400,11086,73070,84156,Manhattan,1903568.419,East Harlem (North)
21-May,36061018400,1018400,0,64286,64286,Manhattan,1903568.419,East Harlem (North)
19-Jun,36061018400,1018400,0,71,71,Manhattan,1903568.419,East Harlem (North)
21-Jun,36061018400,1018400,8009,124027,132036,Manhattan,1903568.419,East Harlem (North)
19-Jul,36061018400,1018400,15483,71,15554,Manhattan,1903568.419,East Harlem (North)
21-Jul,36061018400,1018400,14018,27924,41942,Manhattan,1903568.419,East Harlem (North)
19-Aug,36061018400,1018400,9020,31334,40354,Manhattan,1903568.419,East Harlem (North)
21-Aug,36061018400,1018400,3461,63803,67264,Manhattan,1903568.419,East Harlem (North)
19-May,36061018600,1018600,14004,40671,54675,Manhattan,1311722.331,Harlem (South)
21-May,36061018600,1018600,13983,96353,110336,Manhattan,1311722.331,Harlem (South)
19-Jun,36061018600,1018600,8106,112787,120893,Manhattan,1311722.331,Harlem (South)
21-Jun,36061018600,1018600,11792,40290,52082,Manhattan,1311722.331,Harlem (South)
19-Jul,36061018600,1018600,16829,26350,43179,Manhattan,1311722.331,Harlem (South)
21-Jul,36061018600,1018600,11251,74557,85808,Manhattan,1311722.331,Harlem (South)
19-Aug,36061018600,1018600,7335,123569,130904,Manhattan,1311722.331,Harlem (South)
21-Aug,36061018600,1018600,13371,50969,64340,Manhattan,1311722.331,Harlem (South)
19-May,36061018700,1018700,8078,80752,88830,Manhattan,2323892.254,Upper West Side-Manhattan Valley
21-May,36061018700,1018700,9640,117851,127491,Manhattan,2323892.254,Upper West Side-Manhattan Valley
19-Jun,36061018700,1018700,10788,71,10859,Manhattan,2323892.254,Upper West Side-Manhattan Valley
21-Jun,36061018700,1018700,2454,96972,99426,Manhattan,2323892.254,Upper West Side-Manhattan Valley
19-Jul,36061018700,1018700,4473,109342,113815,Manhattan,2323892.254,Upper West Side-Manhattan Valley
21-Jul,36061018700,1018700,15476,118086,133562,Manhattan,2323892.254,Upper West Side-Manhattan Valley
19-Aug,36061018700,1018700,11554,14837,26391,Manhattan,2323892.254,Upper West Side-Manhattan Valley
21-Aug,36061018700,1018700,15692,107943,123635,Manhattan,2323892.254,Upper West Side-Manhattan Valley
19-May,36061019300,1019300,2686,72894,75580,Manhattan,1892879.105,Upper West Side-Manhattan Valley
21-May,36061019300,1019300,2333,79076,81409,Manhattan,1892879.105,Upper West Side-Manhattan Valley
19-Jun,36061019300,1019300,12061,29530,41591,Manhattan,1892879.105,Upper West Side-Manhattan Valley
21-Jun,36061019300,1019300,13832,87098,100930,Manhattan,1892879.105,Upper West Side-Manhattan Valley
19-Jul,36061019300,1019300,6235,138243,144478,Manhattan,1892879.105,Upper West Side-Manhattan Valley
21-Jul,36061019300,1019300,4184,160107,164291,Manhattan,1892879.105,Upper West Side-Manhattan Valley
19-Aug,36061019300,1019300,1025,89261,90286,Manhattan,1892879.105,Upper West Side-Manhattan Valley
21-Aug,36061019300,1019300,12662,50679,63341,Manhattan,1892879.105,Upper West Side-Manhattan Valley
19-May,36061019600,1019600,3165,111558,114723,Manhattan,1902453.312,East Harlem (North)
21-May,36061019600,1019600,11152,135679,146831,Manhattan,1902453.312,East Harlem (North)
19-Jun,36061019600,1019600,0,52687,52687,Manhattan,1902453.312,East Harlem (North)
21-Jun,36061019600,1019600,7899,48805,56704,Manhattan,1902453.312,East Harlem (North)
19-Jul,36061019600,1019600,0,113797,113797,Manhattan,1902453.312,East Harlem (North)
21-Jul,36061019600,1019600,7848,95700,103548,Manhattan,1902453.312,East Harlem (North)
19-Aug,36061019600,1019600,5943,62510,68453,Manhattan,1902453.312,East Harlem (North)
21-Aug,36061019600,1019600,14861,47177,62038,Manhattan,1902453.312,East Harlem (North)
19-May,36061019702,1019702,4328,71,4399,Manhattan,509562.3303,Harlem (South)
21-May,36061019702,1019702,1812,118401,120213,Manhattan,509562.3303,Harlem (South)
19-Jun,36061019702,1019702,9942,80896,90838,Manhattan,509562.3303,Harlem (South)
21-Jun,36061019702,1019702,6776,103225,110001,Manhattan,509562.3303,Harlem (South)
19-Jul,36061019702,1019702,9776,97238,107014,Manhattan,509562.3303,Harlem (South)
21-Jul,36061019702,1019702,8754,98492,107246,Manhattan,509562.3303,Harlem (South)
19-Aug,36061019702,1019702,13466,111495,124961,Manhattan,509562.3303,Harlem (South)
21-Aug,36061019702,1019702,2754,38989,41743,Manhattan,509562.3303,Harlem (South)
